CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
356230559,07/22/2011,16:05:00,07/22/2011,16:05:00,30.0,07/22/2011,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,,,999539.0,239499.0,,,,3.0,40.824040004,-73.944759612,"(40.824040004, -73.944759612)",PATROL BORO MAN NORTH,145 STREET,,UNKNOWN,E
108921920,03/05/2010,15:00:00,03/18/2010,10:00:00,23.0,03/30/2010,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,GROCERY/BODEGA,N.Y. POLICE DEPT,0.0,,,,1000021.0,228488.0,,UNKNOWN,U,,40.793817012,-73.943043929,"(40.793817012, -73.943043929)",PATROL BORO MAN NORTH,,,UNKNOWN,D
505546186,03/30/2013,11:30:00,03/30/2013,11:41:00,19.0,03/30/2013,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0.0,,,,997062.0,223149.0,,,,,40.779167668,-73.953740642,"(40.779167668, -73.953740642)",PATROL BORO MAN NORTH,,,UNKNOWN,D
873229212,07/17/2014,20:05:00,07/17/2014,20:11:00,48.0,07/17/2014,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,REAR OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0.0,,,,1016598.0,249443.0,,,,,40.851287381,-73.883074546,"(40.851287381, -73.883074546)",PATROL BORO BRONX,,,UNKNOWN,E
978118788,06/20/2012,14:40:00,,,40.0,06/22/2012,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1010580.0,236353.0,,BLACK,M,,40.815379114,-73.904878907,"(40.815379114, -73.904878907)",PATROL BORO BRONX,,45-64,BLACK,F
846812976,07/23/2012,16:30:00,07/23/2012,16:40:00,71.0,07/23/2012,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DRY CLEANER/LAUNDRY,N.Y. POLICE DEPT,0.0,,,,995771.0,180988.0,,,,,40.663447686,-73.958474269,"(40.663447686, -73.958474269)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
109758978,10/16/2016,20:40:00,10/16/2016,20:50:00,61.0,10/16/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1001998.0,152499.0,45-64,WHITE,M,,40.585241066,-73.9361041,"(40.585241066, -73.9361041)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,M
114712292,12/14/2012,17:50:00,12/14/2012,18:00:00,6.0,12/14/2012,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0.0,,,,982960.0,206814.0,,,,,40.734341441,-74.00465617,"(40.734341441, -74.00465617)",PATROL BORO MAN SOUTH,,,UNKNOWN,D
587755983,07/07/2014,21:40:00,07/07/2014,21:50:00,77.0,07/07/2014,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,,,365,1004448.0,185438.0,,,,,40.675646399,-73.927184904,"(40.675646399, -73.927184904)",PATROL BORO BKLYN NORTH,,25-44,BLACK,M
926431632,10/22/2016,05:00:00,10/22/2016,05:30:00,69.0,10/23/2016,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1012630.0,174951.0,45-64,BLACK,M,,40.646839463,-73.89773184,"(40.646839463, -73.89773184)",PATROL BORO BKLYN SOUTH,,45-64,BLACK,F
988604148,04/27/2012,00:38:00,,,44.0,04/28/2012,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1005433.0,246012.0,,,,,40.841904143,-73.923442998,"(40.841904143, -73.923442998)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,M
466006875,06/10/2014,20:00:00,06/10/2014,23:00:00,25.0,06/19/2014,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1002329.0,231921.0,,,,,40.803235241,-73.934699266,"(40.803235241, -73.934699266)",PATROL BORO MAN NORTH,,,UNKNOWN,E
116986170,08/11/2008,12:00:00,08/12/2008,07:30:00,60.0,08/12/2008,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,986653.0,149522.0,,,,,40.577087228,-73.99135108,"(40.577087228, -73.99135108)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,D
155997628,08/07/2006,02:25:00,,,120.0,08/07/2006,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,950543.0,170917.0,,,,,40.635748327,-74.121447138,"(40.635748327, -74.121447138)",PATROL BORO STATEN ISLAND,,45-64,WHITE,F
734734721,11/21/2008,20:00:00,,,14.0,11/22/2008,107,BURGLARY,243.0,"BURGLARY,UNCLASSIFIED,NIGHT",ATTEMPTED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0.0,,,,988049.0,213714.0,,,,,40.753279499,-73.986289577,"(40.753279499, -73.986289577)",PATROL BORO MAN SOUTH,,,UNKNOWN,D
615361075,02/17/2008,02:00:00,,,40.0,02/17/2008,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1005760.0,237459.0,45-64,BLACK HISPANIC,M,,40.818427823,-73.922288596,"(40.818427823, -73.922288596)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,F
333084782,03/17/2010,12:30:00,,,52.0,03/18/2010,107,BURGLARY,211.0,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1015377.0,258194.0,,BLACK,M,,40.875310605,-73.887447394,"(40.875310605, -73.887447394)",PATROL BORO BRONX,,25-44,BLACK,F
328578620,03/24/2015,14:00:00,03/25/2015,10:00:00,52.0,03/25/2015,107,BURGLARY,211.0,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,BRONX,INSIDE,CHURCH,N.Y. POLICE DEPT,0.0,,,,1015478.0,257490.0,,,,,40.873377987,-73.887085464,"(40.873377987, -73.887085464)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
716943962,10/25/2010,05:14:00,10/25/2010,05:15:00,44.0,10/25/2010,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1008404.0,244727.0,,,,,40.838369567,-73.912710005,"(40.838369567, -73.912710005)",PATROL BORO BRONX,,,UNKNOWN,E
945799101,11/06/2018,09:17:00,11/06/2018,09:19:00,25.0,11/06/2018,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1001234.0,232206.0,25-44,BLACK,M,,40.80401966000005,-73.93865373399994,"(40.80401966, -73.938653734)",PATROL BORO MAN NORTH,,UNKNOWN,UNKNOWN,E
736879044,01/03/2006,13:28:00,,,122.0,01/06/2006,341,PETIT LARCENY,301.0,"LARCENY,PETIT BY ACQUIRING LOS",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,959658.0,147891.0,,,,,40.572576669,-74.088522149,"(40.572576669, -74.088522149)",PATROL BORO STATEN ISLAND,,45-64,WHITE,F
597828540,10/22/2010,14:00:00,10/22/2010,17:20:00,43.0,10/22/2010,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BRONX,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0.0,,,,1023942.0,236201.0,<18,WHITE HISPANIC,F,,40.814911987,-73.856606903,"(40.814911987, -73.856606903)",PATROL BORO BRONX,,<18,BLACK,F
789993550,11/17/2010,12:00:00,11/17/2010,12:00:00,42.0,11/18/2010,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0.0,,,,1012541.0,242362.0,<18,UNKNOWN,M,,40.831866044,-73.897769064,"(40.831866044, -73.897769064)",PATROL BORO BRONX,,<18,UNKNOWN,F
894891671,07/14/2017,19:00:00,07/22/2017,15:00:00,115.0,07/22/2017,353,UNAUTHORIZED USE OF A VEHICLE,462.0,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,,,1018576.0,219954.0,25-44,ASIAN / PACIFIC ISLANDER,M,,40.770340873,-73.876075559,"(40.770340873, -73.876075559)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,D
778779230,10/17/2009,03:05:00,10/17/2009,03:19:00,104.0,10/17/2009,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,,,1011159.0,198979.0,,,,,40.712795436,-73.902936761,"(40.712795436, -73.902936761)",PATROL BORO QUEENS NORTH,,,UNKNOWN,E
